administrative,admin
department,dept
machinery,mach
medical,med
medicine,med
miscellaneous,misc
number,num
percent,pct
pound,lb
state,st
temperature,temp
veteran,vet
argument,arg
geometry,geom
government,govt
# Months
january,jan
february,feb
march,mar
april,apr
june,jun
july,jul
august,aug
september,sep
october,oct
november,nov
december,dec
# U.S States
alabama,al
alaska,ak
arizona,az
arkansas,ar
california,ca
colorado,co
connecticut,ct
delaware,de
district_of_columbia,dc
florida,fl
georgia,ga
hawaii,hi
idaho,id
illinois,il
indiana,in
iowa,ia
kansas,ks
kentucky,ky
louisiana,la
maine,me
montana,mt
nebraska,ne
nevada,nv
new_hampshire,nh
new_jersey,nj
new_mexico,nm
new_york,ny
north_carolina,nc
north_dakota,nd
ohio,oh
oklahoma,ok
oregon,or
maryland,md
massachusetts,ma
michigan,mi
minnesota,mn
mississippi,ms
missouri,mo
pennsylvania,pa
rhode_island,ri
south_carolina,sc
south_dakota,sd
tennessee,tn
texas,tx
utah,ut
vermont,vt
virginia,va
washington,wa
west_virginia,wv
wisconsin,wi
wyoming,wy